POLICY_NUM,FREE_LOOKS,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00522252,N,Single Premium Life,041640    ,025  ,429,85,1085,KY
00522253,N,Single Premium Life,041640    ,025  ,429,80,1085,KY
00522254,N,Single Premium Life,041640    ,025  ,429,80,1085,KY
00522255,N,Single Premium Life,041640    ,025  ,429,80,1085,KY
00522256,N,Single Premium Life,041640    ,025  ,429,80,1085,KY
00522257,N,Single Premium Life,041640    ,025  ,429,80,1085,KY
00522258,N,Single Premium Life,041640    ,025  ,429,80,1085,KY
00522259,N,Single Premium Life,041640    ,025  ,429,80,1085,KY
00522260,N,Single Premium Life,041640    ,025  ,429,68,1085,KY
00522261,N,Single Premium Life,041640    ,025  ,429,67,1085,KY
00522262,N,Single Premium Life,041640    ,025  ,429,67,1085,KY
00522263,N,Single Premium Life,041640    ,025  ,429,67,1085,KY
00522264,N,Single Premium Life,041640    ,025  ,429,67,1085,KY
00522265,N,Adjustable CompLife,099992    ,025  ,#VALUE!,78,1052,IN
00522266,N,Estate CompLife,049901    ,025  ,424,104,1042,KY
00522267,N,Adjustable CompLife,056284    ,025  ,376,113,1037,KY
00522268,N,Adjustable CompLife,012546    ,025  ,109,59,1025,IN
00522269,N,Single Premium Life,068695    ,025  ,271,114,1007,KY
00522270,N,Adjustable CompLife,012546    ,025  ,113,49,1001,IN
00522271,N,Single Premium Life,082392    ,025  ,448,87,1000,KY
00522272,N,Estate CompLife,0B6962    ,025  ,67,42,998,KY
00522273,N,Estate CompLife,048664    ,025  ,438,35,998,KY
00522274,N,Single Premium Life,052397    ,025  ,408,92,995,KY
00522275,N,90 Life,043240    ,025  ,486,81,994,KY
00522276,N,90 Life,054221    ,025  ,392,97,991,KY
00522277,N,Single Premium Life,043240    ,025  ,486,101,987,KY
00522278,N,Adjustable CompLife,099992    ,025  ,#VALUE!,77,985,IN
00522279,N,Estate CompLife,068695    ,025  ,271,106,975,KY
00522280,N,Joint/Survivorship CompLife,061855    ,025  ,331,106,973,IL
00522281,N,90 Life,068695    ,025  ,271,100,972,KY
00522282,N,Estate CompLife,083188    ,025  ,287,99,969,IN
00522283,N,Adjustable CompLife,048664    ,025  ,401,57,930,KY
00522284,N,Single Premium Life,043240    ,025  ,486,68,968,KY
00522285,N,90 Life,006409    ,025  ,129,75,967,KY
00522286,N,90 Life,057244    ,025  ,369,97,965,IN
00522287,N,Single Premium Life,023745    ,025  ,87,66,961,KY
00522288,N,Adjustable CompLife,068695    ,025  ,271,1,961,KY
00522289,N,Adjustable CompLife,036943    ,025  ,556,80,960,KY
00522290,N,90 Life,095415    ,025  ,118,89,960,IL
00522291,N,Adjustable CompLife,041489    ,025  ,503,51,957,KY
00522292,N,Single Premium Life,062715    ,025  ,325,92,958,KY
00522293,N,Single Premium Life,043240    ,025  ,486,111,957,KY
00522294,N,Single Premium Life,043240    ,025  ,486,78,957,KY
00522295,N,Adjustable CompLife,043240    ,025  ,486,14,955,KY
00522296,N,Single Premium Life,095415    ,025  ,118,82,955,IN
00522297,N,Joint/Survivorship CompLife,095415    ,025  ,118,78,955,IN
00522298,N,Adjustable CompLife,090974    ,025  ,188,82,955,IL
00522299,N,90 Life,056284    ,025  ,321,48,896,KY
00522300,N,90 Life,041489    ,025  ,504,72,950,KY
00522301,N,Term 80,099992    ,025  ,#VALUE!,162,949,IN
00522302,N,Term 80,099992    ,025  ,#VALUE!,162,949,IN
00522303,N,90 Life,099992    ,025  ,#VALUE!,113,949,IN
00522304,N,Single Premium Life,036943    ,025  ,556,80,949,KY
00522305,N,Joint/Survivorship CompLife,036943    ,025  ,556,60,948,KY
00522306,N,Adjustable CompLife,095180    ,025  ,168,26,945,KY
00522307,N,Joint/Survivorship CompLife,095415    ,025  ,118,92,944,IN
00522308,N,Adjustable CompLife,043240    ,025  ,478,116,935,KY
00522309,Y,Adjustable CompLife,054221    ,025  ,377,0,927,KY
00522310,N,Adjustable CompLife,043240    ,025  ,475,53,931,KY
00522311,N,Adjustable CompLife,043240    ,025  ,475,53,931,KY
00522312,N,Adjustable CompLife,043240    ,025  ,486,39,942,KY
00522313,N,Term 80,058530    ,025  ,320,120,899,KY
00522314,N,Single Premium Life,056978    ,025  ,371,63,935,KY
00522315,N,Estate CompLife,043240    ,025  ,486,42,934,KY
00522316,N,Term 10,002772    ,025  ,100,57,893,KY
00522317,N,Adjustable CompLife,056978    ,025  ,371,95,933,KY
00522318,N,Adjustable CompLife,095415    ,025  ,118,80,933,IN
00522319,N,Adjustable CompLife,051587    ,025  ,397,81,915,KY
00522320,N,Adjustable CompLife,005916    ,025  ,131,88,931,IN
00522321,N,Adjustable CompLife,038101    ,025  ,543,16,928,KY
00522322,N,Adjustable CompLife,043240    ,025  ,486,117,927,FL
00522323,N,Single Premium Life,043240    ,025  ,486,111,923,KY
00522324,N,Adjustable CompLife,058861    ,025  ,354,79,923,IN
00522325,N,Adjustable CompLife,058861    ,025  ,354,77,923,IN
00522326,N,Adjustable CompLife,048664    ,025  ,421,58,905,KY
00522327,N,90 Life,056186    ,025  ,377,109,921,IN
