POLICY_NUM,SURRENDER,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00194879,N,Estate CompLife,061432    ,008  ,334,22,1049,GA
00194880,N,Estate CompLife,076366    ,008  ,25,19,1045,GA
00194881,N,Single Premium Life,054071    ,008  ,393,85,1043,GA
00194882,N,Single Premium Life,078410    ,008  ,218,75,1043,GA
00194883,N,Estate CompLife,091246    ,008  ,136,0,955,GA
00194884,N,Adjustable CompLife,020610    ,008  ,92,61,996,GA
00194885,N,Adjustable CompLife,090152    ,008  ,193,109,995,GA
00194886,N,Estate CompLife,051803    ,008  ,412,58,989,GA
00194887,N,Estate CompLife,063120    ,008  ,320,98,985,GA
00194888,N,Estate CompLife,048135    ,008  ,444,103,984,GA
00194889,N,Single Premium Life,092611    ,008  ,182,60,974,GA
00194890,N,Term 10,066227    ,008  ,156,15,832,GA
00194891,N,Single Premium Life,059580    ,008  ,349,95,968,FL
00194892,N,Single Premium Life,051803    ,008  ,412,82,965,GA
00194893,N,Estate CompLife,061541    ,008  ,333,76,963,GA
00194894,N,Single Premium Life,051803    ,008  ,412,68,961,FL
00194895,N,Adjustable CompLife,078503    ,008  ,172,79,916,TN
00194896,N,Adjustable CompLife,078503    ,008  ,172,71,916,TN
00194897,N,Joint/Survivorship CompLife,061432    ,008  ,334,112,960,GA
00194898,N,Adjustable CompLife,074007    ,008  ,241,113,959,SC
00194899,N,Single Premium Life,051803    ,008  ,412,98,957,GA
00194900,N,Single Premium Life,051803    ,008  ,412,83,957,GA
00194901,N,90 Life,099992    ,008  ,#VALUE!,105,955,GA
00194902,N,Adjustable CompLife,049080    ,008  ,387,55,905,GA
00194903,N,Adjustable CompLife,049080    ,008  ,435,116,950,NC
00194904,N,Estate CompLife,060402    ,008  ,342,104,949,GA
00194905,N,Estate CompLife,060402    ,008  ,342,98,949,GA
00194906,N,Estate CompLife,054071    ,008  ,393,52,948,SC
00194907,N,Adjustable CompLife,0C1354    ,008  ,58,4,947,GA
00194908,N,Estate CompLife,051803    ,008  ,385,38,918,GA
00194909,N,Adjustable CompLife,016303    ,008  ,103,89,943,GA
00194910,N,Adjustable CompLife,020610    ,008  ,92,49,942,GA
00194911,Y,Adjustable CompLife,044817    ,008  ,463,107,933,OK
00194912,N,Adjustable CompLife,000004    ,008  ,#VALUE!,69,907,GA
00194913,N,Joint/Survivorship CompLife,051803    ,008  ,412,104,940,GA
00194914,N,Joint/Survivorship CompLife,051803    ,008  ,412,102,940,GA
00194915,N,Estate CompLife,048135    ,008  ,444,91,938,GA
00194916,Y,Estate CompLife,051803    ,008  ,381,49,906,NC
00194917,N,Joint/Survivorship CompLife,054622    ,008  ,389,71,935,SC
00194918,N,Single Premium Life,000004    ,008  ,#VALUE!,111,934,GA
00194919,N,Adjustable CompLife,000004    ,008  ,#VALUE!,107,934,GA
00194920,N,Adjustable CompLife,035624    ,008  ,572,65,934,FL
00194921,N,Joint/Survivorship CompLife,067102    ,008  ,285,92,933,GA
00194922,N,Adjustable CompLife,061476    ,008  ,334,90,932,TX
00194923,N,Adjustable CompLife,060652    ,008  ,340,96,930,GA
00194924,N,Adjustable CompLife,060652    ,008  ,340,88,930,GA
00194925,N,Adjustable CompLife,061476    ,008  ,334,71,930,GA
00194926,N,Single Premium Life,051803    ,008  ,412,112,928,GA
00194927,N,Adjustable CompLife,090152    ,008  ,193,83,928,GA
00194928,N,Level Term 10,035624    ,008  ,434,23,785,GA
00194929,N,Term 10,066227    ,008  ,284,113,914,GA
00194930,N,Single Premium Life,051803    ,008  ,412,112,923,GA
00194931,N,Whole Life,091246    ,008  ,187,106,922,GA
00194932,N,Estate CompLife,091246    ,008  ,187,61,922,GA
00194933,N,Adjustable CompLife,067815    ,008  ,279,86,921,GA
00194934,N,Adjustable CompLife,035624    ,008  ,572,90,921,GA
00194935,N,Estate CompLife,035624    ,008  ,570,100,919,GA
00194936,N,Adjustable CompLife,092498    ,008  ,182,115,920,GA
00194937,N,Level Term 10,036755    ,008  ,558,165,919,GA
00194938,N,90 Life,005566    ,008  ,133,66,919,GA
00194939,N,Adjustable CompLife,048555    ,008  ,439,5,919,GA
00194940,Y,Whole Life,070752    ,008  ,245,104,905,GA
00194941,Y,Estate CompLife,042132    ,008  ,332,77,906,GA
00194942,N,Adjustable CompLife,036755    ,008  ,558,83,917,GA
00194943,N,Adjustable CompLife,035624    ,008  ,572,82,916,TN
00194944,N,Estate CompLife,063583    ,008  ,317,95,916,GA
00194945,N,Adjustable CompLife,061541    ,008  ,333,60,915,GA
00194946,N,Level Term 10,053360    ,008  ,399,166,915,GA
00194947,N,Estate CompLife,076366    ,008  ,25,16,914,GA
00194948,N,Estate CompLife,066227    ,008  ,293,70,914,GA
00194949,N,Extended Term,099992    ,008  ,#VALUE!,0,871,GA
00194950,N,Adjustable CompLife,066227    ,008  ,293,111,912,GA
00194951,N,Adjustable CompLife,066227    ,008  ,293,88,912,GA
00194952,N,Adjustable CompLife,014969    ,008  ,108,20,912,GA
00194953,N,Adjustable CompLife,016303    ,008  ,103,77,912,GA
00194954,N,Term 10,061476    ,008  ,334,112,911,GA
00194955,N,Joint/Survivorship CompLife,059580    ,008  ,349,91,911,FL
00194956,N,Whole Life,092498    ,008  ,182,58,911,SC
00194957,N,Term 10,092498    ,008  ,127,24,855,GA
00194958,N,90 Life,092498    ,008  ,182,55,910,GA
00194959,N,90 Life,035624    ,008  ,572,102,910,GA
00194960,N,Estate CompLife,063583    ,008  ,317,64,910,GA
00194961,N,90 Life,066227    ,008  ,293,112,909,GA
00194962,N,Adjustable CompLife,087811    ,008  ,201,67,909,GA
00194963,N,Adjustable CompLife,035624    ,008  ,572,85,908,GA
00194964,N,Level Term 10,044817    ,008  ,450,119,887,GA
00194965,N,Adjustable CompLife,060402    ,008  ,342,94,908,GA
00194966,N,Level Term 10,035624    ,008  ,546,114,882,GA
00194967,N,Adjustable CompLife,048539    ,008  ,440,119,906,MS
00194968,N,Adjustable CompLife,087811    ,008  ,201,108,906,GA
00194969,N,Adjustable CompLife,078410    ,008  ,218,58,905,GA
00194970,N,Level Term 10,036755    ,008  ,558,162,905,GA
00194971,N,Adjustable CompLife,000004    ,008  ,#VALUE!,122,905,GA
00194972,N,Adjustable CompLife,000004    ,008  ,#VALUE!,121,905,GA
00194973,Y,Joint/Survivorship CompLife,090152    ,008  ,153,35,865,GA
00194974,N,Adjustable CompLife,061541    ,008  ,333,119,904,GA
00194975,N,Estate CompLife,007207    ,008  ,127,105,904,GA
00194976,N,Single Premium Life,035624    ,008  ,572,60,903,GA
00194977,N,90 Life,066227    ,008  ,293,113,902,GA
00194978,Y,Level Term 10,074007    ,008  ,236,121,896,MD
00194979,Y,Level Term 10,074007    ,008  ,236,117,896,MD
00194980,N,Adjustable CompLife,051803    ,008  ,412,112,901,GA
00194981,N,Level Term 10,060906    ,008  ,202,24,765,GA
00194982,N,Estate CompLife,035624    ,008  ,572,107,900,GA
00194983,N,Adjustable CompLife,077044    ,008  ,224,103,900,GA
00194984,N,Adjustable CompLife,077044    ,008  ,224,66,900,GA
00194985,N,90 Life,099992    ,008  ,#VALUE!,80,900,GA
00194986,N,90 Life,035624    ,008  ,572,109,900,FL
