POLICY_NUM,FREE_LOOKS,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00268361,N,90 Life,048618    ,102  ,439,114,1050,CA
00268362,N,Estate CompLife,047102    ,102  ,422,10,988,IA
00268363,N,Single Premium Life,044732    ,102  ,369,95,1009,CA
00268364,N,Joint/Survivorship CompLife,047102    ,102  ,447,39,994,IA
00268365,Y,Estate CompLife,010876    ,102  ,79,0,959,CA
00268366,N,Estate CompLife,099992    ,102  ,#VALUE!,99,991,CA
00268367,N,Joint/Survivorship CompLife,076319    ,102  ,180,40,935,MT
00268368,N,Single Premium Life,044732    ,102  ,369,100,983,CA
00268369,N,Extended Term,099992    ,102  ,#VALUE!,49,956,CA
00268370,N,Term 10,057587    ,102  ,351,120,952,TX
00268371,N,Adjustable CompLife,068532    ,102  ,277,112,963,CA
00268372,N,Joint/Survivorship CompLife,068532    ,102  ,277,114,959,CA
00268373,N,Estate CompLife,036350    ,102  ,563,111,955,CA
00268374,N,Term 10,099992    ,102  ,#VALUE!,112,916,CA
00268375,N,Adjustable CompLife,063216    ,102  ,289,84,921,MN
00268376,N,Adjustable CompLife,099992    ,102  ,#VALUE!,109,950,CA
00268377,N,Adjustable CompLife,099992    ,102  ,#VALUE!,109,950,CA
00268378,N,90 Life,099992    ,102  ,#VALUE!,86,908,CA
00268379,N,Adjustable CompLife,0B1749    ,102  ,79,3,944,CA
00268380,N,Joint/Survivorship CompLife,048618    ,102  ,439,110,942,CA
00268381,N,Adjustable CompLife,071581    ,102  ,221,72,906,CA
00268382,N,Single Premium Life,099992    ,102  ,#VALUE!,100,940,WA
00268383,N,Adjustable CompLife,099992    ,102  ,#VALUE!,74,894,ID
00268384,N,Estate CompLife,070242    ,102  ,262,69,938,MA
00268385,N,Adjustable CompLife,0E1565    ,102  ,35,1,935,CA
00268386,N,Adjustable CompLife,0B1749    ,102  ,48,26,902,CA
00268387,N,Adjustable CompLife,009276    ,102  ,123,30,933,CA
00268388,N,Adjustable CompLife,015589    ,102  ,56,13,881,NV
00268389,N,Estate CompLife,033700    ,102  ,597,118,930,CA
00268390,N,Adjustable CompLife,056997    ,102  ,370,101,928,CA
00268391,N,Adjustable CompLife,0C0662    ,102  ,61,7,927,CA
00268392,N,Joint/Survivorship CompLife,071581    ,102  ,256,114,926,CA
00268393,N,Level Term 10,000018    ,102  ,#VALUE!,140,906,CA
00268394,N,Adjustable CompLife,090132    ,102  ,193,86,925,NV
00268395,N,Adjustable CompLife,001838    ,102  ,121,75,901,NV
00268396,N,Estate CompLife,099992    ,102  ,#VALUE!,120,923,CA
00268397,N,Extended Term,099992    ,102  ,#VALUE!,120,922,CA
00268398,N,Single Premium Life,033700    ,102  ,597,88,921,MD
00268399,N,Adjustable CompLife,024436    ,102  ,85,41,921,CA
00268400,N,Adjustable CompLife,099992    ,102  ,#VALUE!,51,886,CA
00268401,N,Estate CompLife,071581    ,102  ,230,53,894,CA
00268402,N,Estate CompLife,063216    ,102  ,320,106,916,CA
00268403,N,Adjustable CompLife,047102    ,102  ,453,103,916,CA
00268404,N,Adjustable CompLife,0B2088    ,102  ,78,73,916,CA
00268405,N,Estate CompLife,062310    ,102  ,303,63,891,CA
00268406,N,Term 10,063216    ,102  ,317,73,911,CA
00268407,N,Adjustable CompLife,063835    ,102  ,315,50,913,CA
00268408,N,Estate CompLife,0B6391    ,102  ,69,7,913,NV
