POLICY_NUM,FREE_LOOKS,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00378754,N,Single Premium Life,054355    ,129  ,392,99,1088,FL
00378755,N,Single Premium Life,065030    ,129  ,304,73,1056,OH
00378756,N,Adjustable CompLife,022998    ,129  ,64,51,1023,FL
00378757,N,Adjustable CompLife,0B1685    ,129  ,79,69,1021,FL
00378758,N,Single Premium Life,011514    ,129  ,116,95,1020,FL
00378759,N,Adjustable CompLife,000088    ,129  ,#VALUE!,69,990,FL
00378760,N,Adjustable CompLife,074634    ,129  ,237,11,1000,TN
00378761,N,90 Life,044752    ,129  ,472,70,996,FL
00378762,Y,Adjustable CompLife,023465    ,129  ,31,0,935,FL
00378763,N,Estate CompLife,000033    ,129  ,#VALUE!,123,989,FL
00378764,N,Single Premium Life,059593    ,129  ,350,114,988,FL
00378765,N,Single Premium Life,000065    ,129  ,#VALUE!,84,987,FL
00378766,N,Single Premium Life,054355    ,129  ,392,110,983,FL
00378767,N,Adjustable CompLife,000064    ,129  ,#VALUE!,65,974,FL
00378768,N,Adjustable CompLife,000065    ,129  ,#VALUE!,108,968,FL
00378769,N,90 Life,023224    ,129  ,41,72,920,FL
00378770,N,Adjustable CompLife,054355    ,129  ,392,114,963,FL
00378771,N,Adjustable CompLife,000065    ,129  ,#VALUE!,117,956,FL
00378772,N,Estate CompLife,060413    ,129  ,341,71,956,FL
00378773,N,Adjustable CompLife,062484    ,129  ,327,93,954,FL
00378774,N,Adjustable CompLife,054140    ,129  ,394,108,953,MA
00378775,N,90 Life,045863    ,129  ,462,59,952,FL
00378776,N,Adjustable CompLife,011514    ,129  ,100,22,930,FL
00378777,N,Adjustable CompLife,054140    ,129  ,394,44,945,FL
00378778,N,Whole Life,060413    ,129  ,341,82,943,FL
00378779,N,Estate CompLife,054355    ,129  ,392,40,942,FL
00378780,Y,Adjustable CompLife,000065    ,129  ,#VALUE!,0,906,FL
00378781,N,Level Term 10,059593    ,129  ,300,105,892,FL
00378782,N,Adjustable CompLife,000088    ,129  ,#VALUE!,66,942,FL
00378783,N,Adjustable CompLife,060199    ,129  ,345,22,942,FL
00378784,N,Adjustable CompLife,062484    ,129  ,327,97,942,FL
00378785,N,Adjustable CompLife,0E4258    ,129  ,29,65,941,FL
00378786,N,Adjustable CompLife,069056    ,129  ,269,69,940,FL
00378787,N,Adjustable CompLife,014076    ,129  ,111,107,937,FL
00378788,N,Adjustable CompLife,000088    ,129  ,#VALUE!,111,937,FL
00378789,N,Term 80,036191    ,129  ,561,163,933,FL
00378790,N,Single Premium Life,000088    ,129  ,#VALUE!,50,895,FL
00378791,N,Adjustable CompLife,0B0960    ,129  ,82,42,934,FL
00378792,N,Level Term 10,088920    ,129  ,63,19,798,[NULL]
00378793,N,Adjustable CompLife,075213    ,129  ,233,40,932,FL
00378794,N,Estate CompLife,011514    ,129  ,116,85,932,FL
00378795,N,Adjustable CompLife,000065    ,129  ,#VALUE!,96,932,FL
00378796,N,Adjustable CompLife,000064    ,129  ,#VALUE!,72,931,FL
00378797,N,90 Life,000033    ,129  ,#VALUE!,99,928,FL
00378798,N,Adjustable CompLife,054355    ,129  ,392,12,928,TX
00378799,N,Adjustable CompLife,0B3333    ,129  ,77,21,928,FL
00378800,N,Adjustable CompLife,054140    ,129  ,394,41,928,FL
00378801,N,Extended Term,088920    ,129  ,164,82,894,FL
00378802,N,Adjustable CompLife,000023    ,129  ,#VALUE!,53,926,FL
00378803,N,Term 10,000064    ,129  ,#VALUE!,120,909,FL
00378804,N,Adjustable CompLife,090916    ,129  ,188,22,922,FL
00378805,N,Adjustable CompLife,0B1685    ,129  ,79,31,921,FL
00378806,N,Term 10,095515    ,129  ,109,93,864,FL
00378807,N,Level Term 10,000033    ,129  ,#VALUE!,120,904,FL
00378808,N,Estate CompLife,000011    ,129  ,#VALUE!,79,920,FL
00378809,N,Adjustable CompLife,013399    ,129  ,113,18,920,FL
00378810,N,Adjustable CompLife,090916    ,129  ,145,67,876,FL
00378811,N,Adjustable CompLife,0B0950    ,129  ,12,60,919,FL
